Pressure,Altitude,Temperature,Dew_point,Wind_direction,Wind_speed
1006.2,88,26.1,15.5,202,7
1006.1,89,26.1,15.9,203,5.1
1006,89,25.9,15.8,203,4.5
1005.9,90,26,15.7,203,4.3
1005.7,92,26.6,15.5,203,4.9
1005.5,95,27.1,15.3,203,5.2
1005,99,27.2,15,203,5.6
1004.5,104,27.1,14.8,203,5.8
1003.8,109,27.1,14.8,203,6.2
1003.2,114,27.1,14.8,203,6.4
1002.7,119,27.1,14.7,203,6.6
1002.2,124,27,14.8,203,7
1001.6,129,27,14.8,203,7.2
1001,134,27,14.8,203,7.4
1000.6,138,26.9,14.7,203,7.6
1000.1,142,26.9,14.7,203,7.8
1000,143,26.9,14.7,203,8
999.7,146,26.8,14.7,203,8
999.2,151,26.8,14.7,203,8.2
998.4,157,26.7,14.7,203,8.4
997.6,165,26.7,14.7,203,8.7
996.7,172,26.6,14.7,203,8.9
995.9,180,26.5,14.7,203,9.1
995.2,185,26.5,14.6,203,9.5
994.7,190,26.5,14.6,203,9.7
994.2,195,26.4,14.5,203,10.1
993.6,200,26.3,14.5,203,10.3
992.9,206,26.3,14.6,203,10.5
992.2,213,26.2,14.6,203,10.7
991.5,219,26.2,14.7,203,11.1
990.8,225,26.1,14.7,203,11.5
990,232,26,14.6,203,11.9
989.1,240,25.9,14.6,203,12.2
988.2,248,25.9,14.6,203,12.8
987.3,256,25.8,14.5,203,13.2
986.4,264,25.7,14.5,202,13.8
985.5,272,25.7,14.5,202,14.2
984.6,280,25.6,14.5,202,14.8
983.8,287,25.6,14.5,202,15.4
983.2,292,25.5,14.5,202,15.7
982.7,297,25.5,14.5,202,16.3
982.2,301,25.4,14.5,202,16.7
981.6,307,25.4,14.5,202,17.3
980.9,313,25.3,14.6,202,17.9
980.1,320,25.2,14.5,202,18.3
979.3,327,25.2,14.5,202,18.9
978.6,334,25.1,14.4,202,19.2
977.8,341,25.1,14.3,202,19.6
977.2,346,25,14.3,202,20
976.7,351,25,14.3,202,20.4
976.2,355,25,14.3,202,20.8
975.7,360,24.9,14.4,203,21.2
975.1,365,24.9,14.4,203,21.6
974.4,371,24.9,14.3,203,22
973.7,377,24.9,14.3,204,22.2
973,384,24.8,14.2,204,22.5
972.3,391,24.8,14.1,204,22.7
971.6,397,24.8,14,205,23.1
971.1,402,24.7,14,205,23.3
970.5,407,24.7,13.9,206,23.5
969.9,412,24.7,13.9,206,23.9
969.3,417,24.6,14,207,24.1
968.7,423,24.6,14,207,24.3
968,429,24.5,14,208,24.7
967.4,435,24.5,13.9,208,24.9
966.8,440,24.5,13.9,209,25.1
966.1,446,24.5,13.8,209,25.3
965.5,452,24.5,13.8,209,25.5
964.8,458,24.4,13.7,210,25.9
964.2,464,24.3,13.6,210,26
963.7,468,24.3,13.6,211,26.2
963.3,472,24.3,13.6,211,26.4
962.9,476,24.3,13.5,211,26.8
962.5,480,24.3,13.5,212,27
962,484,24.2,13.5,212,27.2
961.6,487,24.2,13.5,212,27.4
961.2,491,24.2,13.4,212,27.6
960.8,495,24.3,13.4,212,27.8
960.2,500,24.2,13.3,212,28
959.6,506,24.2,13.3,213,28.2
958.8,513,24.2,13.3,213,28.4
958.2,519,24.1,13.3,213,28.6
957.6,523,24,13.3,213,28.8
957.2,527,24,13.3,213,29
956.8,531,23.9,13.3,213,29.2
956.3,536,23.9,13.3,213,29.4
955.7,541,23.9,13.2,213,29.5
955.1,547,23.9,13.1,213,29.5
954.5,552,23.8,13.1,213,29.7
953.9,557,23.8,13.1,213,29.9
953.4,562,23.8,13,213,29.9
952.9,567,23.8,13,213,30.1
952.5,571,23.8,12.9,213,30.3
952,575,23.7,12.9,213,30.3
951.5,580,23.7,12.9,214,30.5
950.9,585,23.7,12.9,214,30.7
950.4,590,23.6,13,214,30.7
949.8,595,23.6,12.9,214,30.9
949.2,601,23.5,12.9,214,31.1
948.6,606,23.5,12.9,215,31.3
948,612,23.4,12.9,215,31.3
947.5,617,23.4,12.8,215,31.5
946.9,622,23.4,12.8,215,31.7
946.4,627,23.3,12.8,216,31.9
945.7,633,23.3,12.8,216,32.1
945,640,23.3,12.8,216,32.3
944.3,646,23.2,12.8,216,32.5
943.6,652,23.2,12.7,217,32.7
943,658,23.2,12.6,217,32.9
942.5,663,23.1,12.6,217,33
942,667,23.1,12.6,218,33.2
941.7,671,23.1,12.6,218,33.4
941.2,674,23.1,12.6,218,33.6
940.8,679,23.1,12.7,219,33.8
940.3,683,23,12.7,219,33.8
939.8,688,23,12.7,219,34
939.2,693,22.9,12.6,219,34.2
938.7,698,22.9,12.6,220,34.4
938.2,703,22.8,12.6,220,34.4
937.7,707,22.8,12.6,220,34.6
937.3,711,22.8,12.6,220,34.8
936.8,715,22.7,12.6,220,34.8
936.3,720,22.7,12.7,221,34.8
935.9,724,22.6,12.6,221,35
935.4,728,22.6,12.6,221,35
935,733,22.5,12.6,221,35.2
934.5,737,22.5,12.6,221,35.2
934,742,22.4,12.6,222,35.2
933.4,748,22.4,12.6,222,35.2
932.7,754,22.4,12.6,222,35.2
932,760,22.3,12.6,222,35.4
931.4,766,22.3,12.5,222,35.4
930.9,771,22.2,12.5,222,35.4
930.4,775,22.2,12.5,223,35.4
